user_id, request_date
  s_1000015213462107 , 2017-06-08 04:00:00
  s_1000015983435035 , 2017-06-12 04:00:00
  s_1000015983435035 , 2017-06-13 04:00:00
  s_1000030253461248 , 2017-06-11 04:00:00
  s_1000144340118284 , 2017-06-09 04:00:00
  s_1000144340118284 , 2017-06-11 04:00:00
  s_1000144340118284 , 2017-06-13 04:00:00
  s_1000144340118284 , 2017-06-22 04:00:00
  s_1000312063404253 , 2017-06-05 04:00:00
  s_1000387850096629 , 2017-06-13 04:00:00
  s_1000426343428040 , 2017-06-05 04:00:00
  s_1000426343428040 , 2017-06-06 04:00:00
  s_1000426343428040 , 2017-06-08 04:00:00
  s_1000426343428040 , 2017-06-09 04:00:00
  s_1000426343428040 , 2017-06-11 04:00:00
  s_1000426343428040 , 2017-06-12 04:00:00
  s_1000426343428040 , 2017-06-13 04:00:00
  s_1000426343428040 , 2017-06-14 04:00:00
  s_1000426343428040 , 2017-06-15 04:00:00
  s_1000426343428040 , 2017-06-16 04:00:00
  s_1000426343428040 , 2017-06-18 04:00:00
  s_1000426343428040 , 2017-06-20 04:00:00
  s_1000426343428040 , 2017-06-21 04:00:00
  s_1000426343428040 , 2017-06-24 04:00:00
  s_1000426343428040 , 2017-06-26 04:00:00
  s_1000426343428040 , 2017-06-27 04:00:00
  s_1000426343428040 , 2017-06-29 04:00:00
  s_1000426343428040 , 2017-06-30 04:00:00
  s_1000426343428040 , 2017-07-01 04:00:00
  s_1000426343428040 , 2017-07-04 04:00:00
  s_1000426343428040 , 2017-07-05 04:00:00
  s_1000426343428040 , 2017-07-06 04:00:00
  s_1000426343428040 , 2017-07-11 04:00:00
  s_1000426343428040 , 2017-07-12 04:00:00
  s_1000426343428040 , 2017-07-14 04:00:00
  s_1000426343428040 , 2017-07-15 04:00:00
  s_1000426343428040 , 2017-07-16 04:00:00
  s_1000428900060696 , 2017-06-13 04:00:00
  s_1000518653384921 , 2017-06-11 04:00:00
  s_1000518653384921 , 2017-07-06 04:00:00
  s_1000522260084722 , 2017-06-11 04:00:00
  s_1000522260084722 , 2017-06-12 04:00:00
  s_1000552603412367 , 2017-06-17 04:00:00
  s_1000552603412367 , 2017-06-19 04:00:00
  s_1000559370079603 , 2017-06-14 04:00:00
  s_1000580110072775 , 2017-06-08 04:00:00
  s_1000580110072775 , 2017-06-10 04:00:00
